Base,Comm,Agent_number,Dataset,Pred_length,MSE,MAE
Hete,chain,8,CzeLan,96,0.20866890251636505,0.2550780177116394
Hete,chain,16,CzeLan,720,0.2492268681526184,0.2990743815898895
Hete,chain,20,CzeLan,720,0.25599268078804016,0.3000183701515198
Hete,chain,4,CzeLan,96,0.20591449737548828,0.25267234444618225
Hete,chain,8,CzeLan,720,0.2657296657562256,0.3086811304092407
Hete,chain,24,CzeLan,336,0.24144446849822998,0.2840406894683838
Hete,chain,12,CzeLan,720,0.2525215744972229,0.297099769115448
Hete,chain,12,CzeLan,336,0.23886054754257202,0.2883169651031494
Hete,chain,20,CzeLan,192,0.2263738512992859,0.27138739824295044
Hete,chain,24,CzeLan,192,0.222575843334198,0.269865483045578
Hete,chain,16,CzeLan,336,0.23345589637756348,0.28400975465774536
Hete,chain,8,ETTh1,336,0.44385549426078796,0.44236335158348083
Hete,chain,16,ETTh1,192,0.4341343939304352,0.42681175470352173
Hete,chain,4,ETTh1,192,0.43231651186943054,0.42500293254852295
Hete,chain,16,ETTh1,96,0.3863368034362793,0.40023908019065857
Hete,chain,20,ETTh1,96,0.39148974418640137,0.40068092942237854
Hete,chain,4,ETTh1,720,0.5005287528038025,0.4990166127681732
Hete,chain,20,ETTh1,336,0.44933298230171204,0.44609418511390686
Hete,chain,8,ETTh1,192,0.43156591057777405,0.42496398091316223
Hete,chain,24,ETTh1,96,0.3938797116279602,0.4025570750236511
Hete,chain,24,ETTh1,720,0.49431443214416504,0.4904490113258362
Hete,chain,4,ETTh1,336,0.44509783387184143,0.443777859210968
Hete,chain,12,ETTh1,96,0.38407373428344727,0.39908671379089355
Hete,chain,12,ETTh1,192,0.43204620480537415,0.4254724979400635
Hete,chain,8,ETTh1,96,0.3917304277420044,0.40492311120033264
Hete,chain,16,ETTh1,720,0.49544522166252136,0.4920279085636139
Hete,chain,20,ETTh1,720,0.4939861595630646,0.4900570213794708
Hete,chain,4,ETTh1,96,0.38260138034820557,0.3987715542316437
Hete,chain,8,ETTh1,720,0.48964521288871765,0.4898289740085602
Hete,chain,24,ETTh1,336,0.44466444849967957,0.4432598948478699
Hete,chain,12,ETTh1,720,0.49645495414733887,0.49340543150901794
Hete,chain,12,ETTh1,336,0.4462018311023712,0.4448319971561432
Hete,chain,20,ETTh1,192,0.430513471364975,0.4253838062286377
Hete,chain,24,ETTh1,192,0.4320457875728607,0.42626017332077026
Hete,chain,16,ETTh1,336,0.4469856917858124,0.4444792568683624
Hete,chain,8,ETTh2,336,0.3955874741077423,0.41842418909072876
Hete,chain,16,ETTh2,192,0.3673621714115143,0.3944837749004364
Hete,chain,4,ETTh2,192,0.39466819167137146,0.41329798102378845
Hete,chain,16,ETTh2,96,0.28948259353637695,0.34106525778770447
Hete,chain,20,ETTh2,96,0.2914454936981201,0.3427770733833313
